tourn_type,tourn_name,tourn_id,tourn_location,tourn_start_year,tourn_ground,tourn_value,tourn_winner,winner_id
Grand Slam,Roland Garros,520,roland-garros,2021,Clay,"€17,171,108",Novak Djokovic,d643
ATP 250,'s-Hertogenbosch (Cancelled),440,s-hertogenbosch,2021,Grass,,,
ATP 250,Stuttgart,321,stuttgart,2021,Grass,"€618,735",Marin Cilic,c977
ATP 500,Halle,500,halle,2021,Grass,"€1,455,925",Ugo Humbert,hh26
ATP 500,London / Queen's Club,311,london,2021,Grass,"€1,427,455",Matteo Berrettini,bk40
ATP 250,Mallorca,8994,mallorca,2021,Grass,"€783,655",Daniil Medvedev,mm58
ATP 250,Eastbourne,741,eastbourne,2021,Grass,"€609,065",Alex de Minaur,dh58
Grand Slam,Wimbledon,540,wimbledon,2021,Grass,"£17,066,000",Novak Djokovic,d643
ATP 500,Hamburg,414,hamburg,2021,Clay,"€1,168,220",Pablo Carreno Busta,cd85
ATP 250,Newport,315,newport,2021,Grass,"$535,535",Kevin Anderson,a678
ATP 250,Bastad,316,bastad,2021,Clay,"€481,270",Casper Ruud,rh16
ATP 250,Los Cabos,7480,los-cabos,2021,Hard,"$694,655",Cameron Norrie,n771
ATP 250,Gstaad,314,gstaad,2021,Clay,"€481,270",Casper Ruud,rh16
ATP 250,Umag,439,umag,2021,Clay,"€481,270",Carlos Alcaraz,a0e2
,Tokyo Olympics,96,tokyo,2021,Hard,,Alexander Zverev,z355
ATP 250,Atlanta,6116,atlanta,2021,Hard,"$638,385",John Isner,i186
ATP 250,Kitzbuhel,319,kitzbuhel,2021,Clay,"€481,270",Casper Ruud,rh16
ATP 500,Washington,418,washington,2021,Hard,"$2,046,340",Jannik Sinner,s0ag
Masters 1000,ATP Masters 1000 Canada,421,toronto,2021,Hard,"$3,487,915",Daniil Medvedev,mm58
Masters 1000,ATP Masters 1000 Cincinnati,422,cincinnati,2021,Hard,"$6,615,690",Alexander Zverev,z355
ATP 250,Winston-Salem,6242,winston-salem,2021,Hard,"$807,210",Ilya Ivashka,i305
Grand Slam,US Open,560,us-open,2021,Hard,"$27,200,000",Daniil Medvedev,mm58
